Participant ID,Timestamp,Age,Gender,Major or Occupation,What is your previous experience with Virtual Reality?,How frequently do you play 3D video games?,How would you rate your knowledge of super hero comic books?,How would you rate your knowledge of super hero movies?,How easily do you become deeply involved in movies or TV dramas?,How often do you become so involved in a TV program or book that people have problems getting your attention?,How mentally alert do you feel right now?,How good are you at blocking out external distractions when you are involved in something?,"When watching sports, do you ever become so involved in the game that you react as if you were one of the players?",Do you ever have dreams that are so real that you feel disoriented when you awake?,"When playing sports, do you ever become so involved in the game that you lose track of time?",How well do you concentrate on enjoyable activities?,Have you ever gotten excited during a chase or fight scene on TV or in the movies?,Do you ever become so involved in doing something that you lose track of time?
1,2017/07/21 12:15:23 PM EST,23,Male,Computer Science,"Online virtual worlds and video games (e.g., World of Warcraft);Augmented reality (e.g., Pokemon Go);Immersive, head-mounted displays (e.g., Oculus Rift)","Regularly, at least once a week",2,3,3,2,6,4,6,5,6,6,6,7
2,2017/07/24 9:12:44 AM EST,19,Male,Computer Science,"Augmented reality (e.g., Pokemon Go);Immersive, head-mounted displays (e.g., Oculus Rift)","Frequently, almost every day",2,4,5,3,6,5,3,5,6,6,5,7
3,2017/07/24 10:32:51 AM EST,19,Male,Computer Science,"Immersive, head-mounted displays (e.g., Oculus Rift)","Occasionally, about once a month",3,7,7,6,7,6,1,2,5,7,7,5
4,2017/07/24 12:18:20 PM EST,28,Male,Nursing,"Online virtual worlds and video games (e.g., World of Warcraft)","Occasionally, about once a month",4,4,6,6,7,7,7,6,7,7,7,7
5,2017/07/25 11:35:51 AM EST,21,Male,Computer Science,"Online virtual worlds and video games (e.g., World of Warcraft);Augmented reality (e.g., Pokemon Go)","Rarely, only a few times a year",2,4,6,3,2,5,1,3,7,7,5,7
6,2017/07/25 2:17:17 PM EST,23,Male,Computer Science,"Online virtual worlds and video games (e.g., World of Warcraft);Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX)","Regularly, at least once a week",7,7,5,4,6,7,2,4,7,7,7,5
7,2017/07/26 9:43:53 AM EST,20,Male,Computer Science,"Immersive, room-scale reality (e.g., IMAX);Immersive, head-mounted displays (e.g., Oculus Rift)","Never, only a few times ever",1,4,6,2,7,3,4,4,4,6,6,5
8,2017/07/26 12:11:35 PM EST,24,Male,Chemical Engineering,"Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX)","Never, only a few times ever",2,4,6,5,5,5,7,6,7,7,5,6
9,2017/07/26 2:03:43 PM EST,22,Female,student,none,"Never, only a few times ever",2,2,2,3,4,3,3,4,4,5,5,5
10,2017/07/27 11:57:24 AM EST,24,Male,Computer Science,"Augmented reality (e.g., Pokemon Go);Immersive, room-scale reality (e.g., IMAX);Immersive, head-mounted displays (e.g., Oculus Rift)","Rarely, only a few times a year",4,5,5,4,5,3,2,6,6,7,5,7
