PID,Links,QT1NODE,QT1TimeNODE,QT1T_ScoreNODE,QT2NODE,QT2TimeAdjNODE,QT2BestNODE,QT2SecondBestNODE,QT2GoodNODE,QT3NODE,QT3TimeNODE,QT3CorrectNODE,QT3ErrorsNODE,QT4NODE,QT4TimeNODE,QT4Best1NODE,QT4GoodNODE,QT5NODE,QT5TimeNODE,QT5CorrectNODE,QS1NODE,QS2NODE,QS3NODE,QS4NODE,QS5NODE,QS6NODE,QS7NODE,QS8NODE,QS9NODE,QS10NODE,QT1SPHERE,QT1TimeSPHERE,QT1T_ScoreSPHERE,QT2SPHERE,QT2TimeAdjSPHERE,QT2BestSPHERE,QT2SecondBestSPHERE,QT2GoodSPHERE,QT3SPHERE,QT3TimeSPHERE,QT3CorrectSPHERE,QT3ErrorsSPHERE,QT4SPHERE,QT4TimeSPHERE,QT4Best1SPHERE,QT4GoodSPHERE,QT5SPHERE,QT5TimeSPHERE,QT5CorrectSPHERE,QT4TimeSPHERE,QT4CorrectSPHERE,QS1SPHERE,QS2SPHERE,QS3SPHERE,QS4SPHERE,QS5SPHERE,QS6SPHERE,QS7SPHERE,QS8SPHERE,QS9SPHERE,QS10SPHERE
2,No,Marvel,00:37.7,1,Captain America: the First Avenger 2011,01:50.5,0,1,1,Punisher 1989Howard the Duck 1986Fantastic Four 2015,00:26.5,3,0,Guardians of the Galaxy 2014,02:45.4,1,1,Kingsman: The Secret Service 2015,01:19.5,1,4,4,3,6,4,4,3,4,4,5,Marvel,04:56.1,1,Avengers (2012),03:25.2,0,0,1,Punisher (1989)Movie: Howard the Duck (1986)Movie: From Hell (2001)Movie: Mystery Men (1999)Movie: Watchmen (2009)Movie: League of Extraordinary Gentlemen (2003),03:58.5,6,0,Captain America: the First Avenger (2011),,04:14.2,1,Avengers (2012)Movie: Kingsman: The Secret Service (2015),,,01:09.6,1,5,2,6,4,1,6,5,5,6,7
3,Yes,Marvel,03:59.3,1,Avengers: Age of Ultron 2015,01:08.8,1,1,1,Avengers: Age of Ultron 2015Batman Forever 1995,00:32.6,0,1,The Dark Knight Rises 2012,02:56.0,0,1,Batman 1989The Dark Knight Rises 2012Scott Pilgrim vs the World 2010,05:14.0,0,4,1,5,5,1,6,5,5,1,5,Marvel,01:20.4,1,Captain America: Civil War (2016),00:45.0,0,0,0,From Hell (2001),00:17.3,1,0,Scott Pilgrim vs the World (2010),,01:31.6,0,The Dark Knight (2008)Movie: Scott Pilgrim vs the World (2010)Movie: Wanted (2008),,,01:50.3,0,5,4,6,5,2,6,6,5,5,4
4,No,DC,12:04.3,0,X-Men: Age of Apocalypse 2016,08:14.6,0,0,0,Batman Forever 1995,00:11.6,0,1,Sin City 2005,01:44.3,0,0,Scott Pilgrim vs the World 2010,14:21.4,0,5,4,4,4,3,5,4,4,5,5,Marvel,01:45.3,1,Avengers: Age of Ultron (2015),04:48.8,1,1,1,League of Extraordinary Gentlemen (2003)Movie: Watchmen (2009)Movie: From Hell (2001)Movie: Mystery Men (1999),04:03.8,4,0,Avengers: Age of Ultron (2015),,00:17.3,0,Scott Pilgrim vs the World (2010),,,01:03.0,0,5,1,5,5,1,5,5,5,6,6
5,Yes,Marvel,00:11.1,1,Fantastic Four: Rise of the Silver Surfer 2007,00:36.7,0,0,1,Teenage Mutant Ninja Turtles 2: the Secret of the Ooze 1991,00:52.6,0,1,Ghost Rider: Spirit of Vengeance 2012,00:27.4,0,0,Batman and Robin 1997,00:53.3,0,3,5,2,6,5,4,5,5,4,1,Marvel,01:15.4,1,Green Lantern (2011),01:07.8,0,0,0,Dredd (2012),00:36.8,0,1,X-Men: Age of Apocalypse (2016),,00:07.7,1,Avengers (2012),,,00:47.4,0,3,2,4,4,3,3,4,5,4,2
6,No,DC,03:35.3,0,Avengers 2012,03:27.7,0,0,1,From Hell 2001,03:05.9,1,0,Men In Black 2 2002,01:33.1,0,1,The Dark Knight 2008Scott Pilgrim vs the World 2010Captain America: the Winter Soldier 2014Batman Begins 2005,04:43.5,0,6,6,5,6,0,6,6,5,6,6,Marvel,04:01.3,1,Avengers (2012),06:08.0,0,0,1,League of Extraordinary Gentlemen (2003)Movie: Mystery Men (1999)Movie: From Hell (2001),03:43.6,3,0,Avengers (2012),,02:29.4,0,The Dark Knight (2008)Movie: Scott Pilgrim vs the World (2010)Movie: Superman Returns (2006),,,05:56.3,0,2,5,6,6,2,6,5,4,4,5
7,Yes,Marvel,01:20.2,1,X-Men: Days of Future Past 2014,00:53.4,0,0,0,Fantastic Four 2015From Hell 2001League of Extraordinary Gentlemen 2003,02:17.1,3,0,Captain America: the First Avenger 2011,02:06.7,1,1,Scott Pilgrim vs the World 2010The Dark Knight 2008The Dark Knight Rises 2012,03:36.1,0,3,4,3,5,2,5,4,4,5,3,Marvel,00:09.4,1,Avengers: Age of Ultron (2015),01:59.3,1,1,1,From Hell (2001)Movie: League of Extraordinary Gentlemen (2003)Movie: Mystery Men (1999),01:53.0,3,0,Sin City 2 (2013),,01:32.6,1,Scott Pilgrim vs the World (2010)Movie: The Dark Knight (2008)Movie: Kingsman: The Secret Service (2015)Movie: Iron Man 2 (2010),,,01:42.0,1,3,4,5,5,2,5,4,5,5,5
8,No,Marvel,04:11.3,1,300 2006,03:16.3,0,0,0,Avengers: Age of Ultron 2015,00:06.2,0,1,Kingsman: The Secret Service 2015,01:48.4,0,0,Avengers 2012Kingsman: The Secret Service 2015Batman Begins 2005,21:58.0,1,4,4,4,5,3,6,4,4,3,5,Marvel,01:31.1,1,Avengers: Age of Ultron (2015),02:59.4,1,1,1,Mystery Men (1999)Movie: From Hell (2001)Movie: Punisher (1989)Movie: Howard the Duck (1986)Movie: League of Extraordinary Gentlemen (2003)Movie: Watchmen (2009),04:42.2,6,0,The Dark Knight Rises (2012),,02:10.6,1,The Dark Knight (2008)Movie: Scott Pilgrim vs the World (2010)Movie: Kingsman: The Secret Service (2015)Movie: Captain America: the First Avenger (2011),,,02:02.4,1,5,3,4,6,2,6,5,5,5,5
9,Yes,Marvel,02:49.8,1,Age of Ultron 2015,01:28.7,0,0,1,League of Extraordinary Gentlemen 2003From Hell 2001Punisher 1989,02:17.1,3,0,Iron Man 2 2010,01:50.9,0,0,Red 2010,06:26.3,0,2,0,2,3,4,5,3,2,3,6,Marvel,01:09.0,1,Iron Man (2008),03:34.0,0,0,0,Watchmen (2009)Movie: League of Extraordinary Gentlemen (2003)Movie: From Hell (2001),04:22.1,3,0,Men In Black 2 (2002),,02:37.9,1,Wanted (2008),,,05:04.9,0,3,1,4,4,4,5,4,4,4,5
10,No,Marvel,01:07.7,1,X-Men Origins: Wolverine 2009,00:25.4,0,0,0,Fantastic Four 2015,01:20.3,1,0,X-Men Origins: Wolverine 2009,00:28.0,0,0,Scott Pilgrim vs the World 2010Superman Returns 2006,00:49.6,0,3,1,4,4,1,4,5,3,3,4,Marvel,01:04.1,1,The Dark Knight Rises (2012),00:41.1,0,0,0,Punisher (1989),00:44.3,1,0,X-Men: Age of Apocalypse (2016),,00:59.5,1,Superman Returns (2006),,,01:22.8,0,5,1,4,5,2,4,5,5,4,4
11,Yes,Marvel,03:28.5,1,X-Men: Age of Apocalypse 2016,01:41.8,0,0,0,Fantastic Four: Rise of the Silver Surfer 2007,01:51.2,0,1,Avengers: Age of Ultron 2015,06:16.2,0,0,Fantastic Four 2005Ghost Rider 2007,02:11.1,0,1,3,1,4,3,4,3,2,1,4,Marvel,01:23.9,1,X-Men: Days of Future Past (2014),01:18.5,0,0,0,League of Extraordinary Gentlemen (2003),00:12.2,1,0,Jonah Hex (2010),,02:38.8,1,Suicide Squad (2016),,,02:31.8,0,4,2,5,5,2,4,5,5,6,4
12,No,Marvel,02:15.9,1,X-Men: Age of Apocalypse 2016,01:20.7,0,0,0,Amazing Spiderman 2 2014Hulk 2003Punisher 2004The Incredible Hulk 2008Swamp Thing 1982,05:31.4,0,5,Iron Man 2008,03:43.1,0,0,The Dark Knight Rises 2012Kingsman: The Secret Service 2015Captain America: the Winter Soldier 2014,11:17.2,1,1,4,3,4,5,5,4,4,2,4,Marvel,00:36.5,1,Avengers: Age of Ultron (2015),02:15.9,1,1,1,Watchmen (2009)Movie: Mystery Men (1999)Movie: From Hell (2001)Movie: League of Extraordinary Gentlemen (2003),06:52.9,4,0,Captain America: the First Avenger (2011),,04:12.2,1,Scott Pilgrim vs the World (2010)Movie: The Dark Knight Rises (2012)Movie: Captain America: the Winter Soldier (2014)Movie: Kingsman: The Secret Service (2015),,,03:20.7,1,5,3,4,5,1,4,4,5,2,4
13,Yes,Marvel,00:32.9,1,Avengers 2012,01:18.4,0,0,1,Fantastic Four 2015Punisher 1989From Hell 2001Howard the Duck 1986,03:12.1,4,0,Sin City 2 2013,01:29.5,0,1,Red 2010Fantastic Four 2005,13:36.6,0,3,2,4,5,1,5,6,5,4,2,Marvel,00:09.2,1,Men In Black 3 (2012),01:20.8,0,0,0,From Hell (2001),00:08.9,1,0,Teenage Mutant Ninja Turtles (1990),,01:29.8,0,Red 2 (2013),,,04:17.4,0,2,0,2,4,1,6,5,4,2,4
14,No,Marvel,01:30.0,1,Avengers 2012,03:07.4,0,0,1,Howard the Duck 1986,05:01.6,1,0,X-Men: Days of Future Past 2014,01:29.9,0,1,Superman Returns 2006,05:42.9,0,5,1,6,6,1,5,6,6,5,5,Marvel,01:25.2,1,Superman 2 (1980),02:01.2,0,0,0,V for Vendetta (2006)Movie: Constantine (2005)Movie: Kick-ass 2 (2013)Movie: Judge Dredd (1995)Movie: Wanted (2008)Movie: League of Extraordinary Gentlemen (2003)Movie: Dredd (2012)Movie: Men In Black (1997)Movie: Scott Pilgrim vs the World (2010),04:06.8,1,8,Amazing Spiderman 2 (2014),,01:04.9,0,Batman Forever (1995),,,02:49.7,0,5,3,6,6,0,5,5,6,5,5
15,Yes,Marvel,00:51.9,1,Captain America: Civil War 2016,01:08.6,0,0,0,Kick-ass 2010Dredd 2012Punisher 2004Hulk 2003,02:23.2,0,4,Avengers: Age of Ultron 2015,01:43.7,0,0,Scott Pilgrim vs the World 2010Captain America: the Winter Soldier 2014Avengers: Age of Ultron 2015,07:17.9,0,5,3,4,5,2,4,5,3,2,2,Dark Horse,00:52.0,0,Avengers (2012),05:00.9,0,0,1,Spawn (1997)Movie: Constantine (2005)Movie: From Hell (2001)Movie: League of Extraordinary Gentlemen (2003),05:05.4,2,2,Supergirl (1984),,02:51.7,0,Red 2 (2013)Movie: Superman Returns (2006)Movie: The Dark Knight Rises (2012)Movie: Red (2010)Movie: Wanted (2008),,,06:39.3,0,5,2,5,5,3,5,5,4,3,3
