PID 	VIZ 	LINKS 	T1A 	T1T 	T2A 	T2T 	T3A 	T3T 	T4A 	T4T 	T5A 	T5T 	Q1 	Q2 	Q3 	Q4 	Q5 	Q6 	Q7 	Q8 	Q9 	Q10 	
1 	Sphere 	Links 	Marvel 	01:39.4 	X-Men: Days of Future Past (2014) 	07:27.2 	From Hell (2001), Mystery Men (1999), Fantastic Four (2015), Punisher (1989), Watchmen (2009), Howard the Duck (1986), League of Extraordinary Gentlemen (2003) 	11:47.6 	Fantastic Four: Rise of the Silver Surfer (2007) 	21:27.3 	Kingsman: The Secret Service (2015) 	03:30.1 	6 	3 	6 	6 	3 	6 	5 	6 	6 	6 	
2 	Sphere 	NoLinks 	Marvel 	04:56.1 	Avengers (2012) 	08:21.3 	Punisher (1989), Howard the Duck (1986), From Hell (2001), Mystery Men (1999), Watchmen (2009), League of Extraordinary Gentlemen (2003) 	12:19.8 	Captain America: the First Avenger (2011) 	16:34.0 	Avengers (2012), Kingsman: The Secret Service (2015) 	01:13.5 	5 	2 	6 	4 	1 	6 	5 	5 	6 	6 	
2 	Node 	NoLinks 	Marvel 	00:37.7 	Captain America: the First Avenger 2011 	02:28.2 	Punisher 1989Howard the Duck 1986Fantastic Four 2015 	02:54.7 	Guardians of the Galaxy 2014 	05:40.1 	Kingsman: The Secret Service 2015 	00:49.9 	4 	4 	3 	6 	4 	4 	3 	4 	4 	5 	
3 	Node 	Links 	Marvel 	03:59.3 	Avengers: Age of Ultron 2015 	05:08.1 	Avengers: Age of Ultron 2015Batman Forever 1995 	05:40.7 	The Dark Knight Rises 2012 	08:36.7 	Batman 1989The Dark Knight Rises 2012Scott Pilgrim vs the World 2010 	01:25.9 	4 	1 	5 	5 	1 	6 	5 	5 	1 	5 	
3 	Sphere 	Links 	Marvel 	01:20.4 	Captain America: Civil War (2016) 	02:05.4 	From Hell (2001) 	02:22.7 	Scott Pilgrim vs the World (2010) 	03:54.3 	The Dark Knight (2008), Scott Pilgrim vs the World (2010), Wanted (2008) 	00:44.8 	5 	4 	6 	5 	2 	6 	6 	5 	5 	4 	
4 	Node 	NoLinks 	DC 	12:04.3 	X-Men: Age of Apocalypse 2016 	20:18.9 	Batman Forever 1995 	20:30.5 	Sin City 2005 	22:14.8 	Scott Pilgrim vs the World 2010 	01:36.0 	5 	4 	4 	4 	3 	5 	4 	4 	5 	5 	
4 	Sphere 	NoLinks 	Marvel 	01:45.3 	Avengers: Age of Ultron (2015) 	05:48.6 	League of Extraordinary Gentlemen (2003), Watchmen (2009), From Hell (2001), Mystery Men (1999) 	10:37.9 	Avengers: Age of Ultron (2015) 	10:55.2 	Scott Pilgrim vs the World (2010) 	02:11.3 	5 	1 	5 	5 	1 	5 	5 	5 	6 	6 	
5 	Sphere 	Links 	Marvel 	01:15.4 	Green Lantern (2011) 	02:23.2 	Dredd (2012) 	03:00.0 	X-Men: Age of Apocalypse (2016) 	03:07.7 	Avengers (2012) 	01:50.0 	3 	2 	4 	4 	3 	3 	4 	5 	4 	2 	
5 	Node 	Links 	Marvel 	00:11.1 	Fantastic Four: Rise of the Silver Surfer 2007 	00:47.8 	Teenage Mutant Ninja Turtles 2: the Secret of the Ooze 1991 	01:40.4 	Ghost Rider: Spirit of Vengeance 2012 	02:07.8 	Batman and Robin 1997 	01:16.0 	3 	5 	2 	6 	5 	4 	5 	5 	4 	1 	
6 	Sphere 	NoLinks 	Marvel 	04:01.3 	Avengers (2012) 	10:09.3 	League of Extraordinary Gentlemen (2003), Mystery Men (1999), From Hell (2001) 	13:52.9 	Avengers (2012) 	16:22.3 	The Dark Knight (2008), Scott Pilgrim vs the World (2010), Superman Returns (2006) 	02:49.8 	2 	5 	6 	6 	2 	6 	5 	4 	4 	5 	
6 	Node 	NoLinks 	DC 	03:35.3 	Avengers 2012 	07:03.0 	From Hell 2001 	10:08.9 	Men In Black 2 2002 	11:42.0 	The Dark Knight 2008Scott Pilgrim vs the World 2010Captain America: the Winter Soldier 2014Batman Begins 2005 	01:24.6 	6 	6 	5 	6 	1 	6 	6 	5 	6 	6 	
7 	Node 	Links 	Marvel 	01:20.2 	X-Men: Days of Future Past 2014 	02:13.6 	Fantastic Four 2015From Hell 2001League of Extraordinary Gentlemen 2003 	04:30.7 	Captain America: the First Avenger 2011 	06:37.4 	Scott Pilgrim vs the World 2010The Dark Knight 2008The Dark Knight Rises 2012 	01:09.9 	3 	4 	3 	5 	2 	5 	4 	4 	5 	3 	
7 	Sphere 	Links 	Marvel 	00:09.4 	Avengers: Age of Ultron (2015) 	02:08.7 	From Hell (2001), League of Extraordinary Gentlemen (2003), Mystery Men (1999) 	04:01.7 	Sin City 2 (2013) 	05:34.3 	Scott Pilgrim vs the World (2010), The Dark Knight (2008), Kingsman: The Secret Service (2015), Iron Man 2 (2010) 	00:55.8 	3 	4 	5 	5 	2 	5 	4 	5 	5 	5 	
8 	Node 	NoLinks 	Marvel 	04:11.3 	300 2006 	07:27.6 	Avengers: Age of Ultron 2015 	07:33.8 	Kingsman: The Secret Service 2015 	09:22.2 	Avengers 2012Kingsman: The Secret Service 2015Batman Begins 2005 	01:10.8 	4 	4 	4 	5 	3 	6 	4 	4 	3 	5 	
8 	Sphere 	NoLinks 	Marvel 	01:31.1 	Avengers: Age of Ultron (2015) 	04:30.5 	Mystery Men (1999), From Hell (2001), Punisher (1989), Howard the Duck (1986), League of Extraordinary Gentlemen (2003), Watchmen (2009) 	09:12.7 	The Dark Knight Rises (2012) 	11:23.3 	The Dark Knight (2008), Scott Pilgrim vs the World (2010), Kingsman: The Secret Service (2015), Captain America: the First Avenger (2011) 	01:14.2 	5 	3 	4 	6 	2 	6 	5 	5 	5 	5 	
9 	Sphere 	Links 	Marvel 	01:09.2 	Iron Man (2008) 	04:43.0 	Watchmen (2009), League of Extraordinary Gentlemen (2003), From Hell (2001) 	09:05.1 	Men In Black 2 (2002) 	11:43.0 	Wanted (2008) 	02:03.3 	3 	1 	4 	4 	4 	5 	4 	4 	4 	5 	
9 	Node 	Links 	Marvel 	02:49.8 	Avengers: Age of Ultron 2015 	04:18.5 	League of Extraordinary Gentlemen 2003From Hell 2001Punisher 1989 	06:35.6 	Iron Man 2 2010 	08:26.5 	Red 2010 	01:53.4 	2 	1 	2 	3 	4 	5 	3 	2 	3 	6 	
10 	Sphere 	NoLinks 	Marvel 	01:04.1 	The Dark Knight Rises (2012) 	01:45.2 	Punisher (1989) 	02:29.5 	X-Men: Age of Apocalypse (2016) 	03:29.0 	Superman Returns (2006) 	00:56.6 	5 	1 	4 	5 	2 	4 	5 	5 	4 	4 	
10 	Node 	NoLinks 	Marvel 	01:07.7 	X-Men Origins: Wolverine 2009 	01:33.1 	Fantastic Four 2015 	02:53.4 	X-Men Origins: Wolverine 2009 	03:21.4 	Scott Pilgrim vs the World 2010Superman Returns 2006 	00:41.1 	3 	1 	4 	4 	1 	4 	5 	3 	3 	4 	
11 	Node 	Links 	Marvel 	03:28.5 	X-Men: Age of Apocalypse 2016 	05:10.3 	Fantastic Four: Rise of the Silver Surfer 2007 	07:01.5 	Avengers: Age of Ultron 2015 	13:17.7 	Fantastic Four 2005Ghost Rider 2007 	01:41.3 	1 	3 	1 	4 	3 	4 	3 	2 	1 	4 	
11 	Sphere 	Links 	Marvel 	01:23.9 	X-Men: Days of Future Past (2014) 	02:42.4 	League of Extraordinary Gentlemen (2003) 	02:54.6 	Jonah Hex (2010) 	05:33.4 	Suicide Squad (2016) 	01:13.2 	4 	2 	5 	5 	2 	4 	5 	5 	6 	4 	
12 	Node 	NoLinks 	Marvel 	02:15.9 	X-Men: Age of Apocalypse 2016 	03:36.6 	Amazing Spiderman 2 2014Hulk 2003Punisher 2004The Incredible Hulk 2008Swamp Thing 1982 	09:08.0 	Iron Man 2008 	12:51.1 	The Dark Knight Rises 2012Kingsman: The Secret Service 2015Captain America: the Winter Soldier 2014 	02:26.5 	1 	4 	3 	4 	5 	5 	4 	4 	2 	4 	
12 	Sphere 	NoLinks 	Marvel 	00:36.5 	Avengers: Age of Ultron (2015) 	02:52.4 	Watchmen (2009), Mystery Men (1999), From Hell (2001), League of Extraordinary Gentlemen (2003) 	09:45.3 	Captain America: the First Avenger (2011) 	13:57.5 	Scott Pilgrim vs the World (2010), The Dark Knight Rises (2012), Captain America: the Winter Soldier (2014), Kingsman: The Secret Service (2015) 	02:20.0 	5 	3 	4 	5 	1 	4 	4 	5 	2 	4 	
13 	Sphere 	Links 	Marvel 	00:09.2 	Men In Black 3 (2012) 	01:30.0 	From Hell (2001) 	01:38.9 	Teenage Mutant Ninja Turtles (1990) 	03:08.7 	Red 2 (2013) 	00:48.0 	2 	1 	2 	4 	1 	6 	5 	4 	2 	4 	
13 	Node 	Links 	Marvel 	00:32.9 	Avengers 2012 	01:51.3 	Fantastic Four 2015Punisher 1989From Hell 2001Howard the Duck 1986 	05:03.4 	Sin City 2 2013 	06:32.9 	Red 2010Fantastic Four 2005 	00:36.4 	3 	2 	4 	5 	1 	5 	6 	5 	4 	2 	
14 	Sphere 	NoLinks 	Marvel 	01:25.2 	Superman 2 (1980) 	03:26.4 	V for Vendetta (2006), Constantine (2005), Kick-ass 2 (2013), Judge Dredd (1995), Wanted (2008), League of Extraordinary Gentlemen (2003), Dredd (2012), Men In Black (1997), Scott Pilgrim vs the World (2010) 	07:33.2 	Amazing Spiderman 2 (2014) 	08:38.1 	Batman Forever (1995) 	01:14.9 	5 	3 	6 	6 	1 	5 	5 	6 	5 	5 	
14 	Node 	NoLinks 	Marvel 	01:30.0 	Avengers 2012 	04:37.4 	Howard the Duck 1986 	09:39.0 	X-Men: Days of Future Past 2014 	11:08.9 	Superman Returns 2006 	00:52.7 	5 	1 	6 	6 	1 	5 	6 	6 	5 	5 	
15 	Node 	Links 	Marvel 	00:51.9 	Captain America: Civil War 2016 	02:00.5 	Kick-ass 2010Dredd 2012Punisher 2004Hulk 2003 	04:23.7 	Avengers: Age of Ultron 2015 	06:07.4 	Scott Pilgrim vs the World 2010Captain America: the Winter Soldier 2014Avengers: Age of Ultron 2015 	01:17.3 	5 	3 	4 	5 	2 	4 	5 	3 	2 	2 	
15 	Sphere 	Links 	Dark Horse 	00:52.0 	Avengers (2012) 	05:52.9 	Spawn (1997), Constantine (2005), From Hell (2001), League of Extraordinary Gentlemen (2003) 	10:58.3 	Supergirl (1984) 	13:50.0 	Red 2 (2013), Superman Returns (2006), The Dark Knight Rises (2012), Red (2010), Wanted (2008) 	01:00.3 	5 	2 	5 	5 	3 	5 	5 	4 	3 	3 	
16 	Node 	NoLinks 	Marvel 	01:46.1 	Avengers: Age of Ultron 2015 	06:02.3 	From Hell 2001League of Extraordinary Gentlemen 2003 	08:17.3 	X-Men: Days of Future Past 2014 	13:37.8 	Scott Pilgrim vs the World 2010The Dark Knight 2008Avengers 2012Thor 2011 	01:08.9 	4 	4 	4 	2 	2 	5 	3 	3 	2 	5 	
16 	Sphere 	NoLinks 	Marvel 	00:12.4 	X2 (2003) 	05:48.1 	Mystery Men (1999), From Hell (2001), Howard the Duck (1986), Punisher (1989), Fantastic Four (2015), League of Extraordinary Gentlemen (2003), Watchmen (2009) 	10:46.5 	Jonah Hex (2010) 	14:35.0 	Scott Pilgrim vs the World (2010), The Dark Knight (2008), Kingsman: The Secret Service (2015) 	00:50.6 	4 	5 	5 	5 	1 	4 	4 	4 	5 	5 	
17 	Sphere 	Links 	Marvel 	05:08.1 	X-Men: Days of Future Past (2014) 	07:25.9 	Watchmen (2009), From Hell (2001), Mystery Men (1999), League of Extraordinary Gentlemen (2003), Fantastic Four (2015), Howard the Duck (1986) 	09:35.3 	Jonah Hex (2010) 	13:33.6 	The Dark Knight (2008), Scott Pilgrim vs the World (2010), Captain America: Civil War (2016), Kingsman: The Secret Service (2015), Captain America: the First Avenger (2011) 	01:35.0 	3 	3 	5 	2 	1 	4 	2 	3 	2 	4 	
17 	Node 	Links 	Marvel 	01:31.6 	Avengers: Age of Ultron 2015 	03:17.0 	Mystery Men 1999From Hell 2001Punisher 1989Watchmen 2009League of Extraordinary Gentlemen 2003 	05:00.9 	Kingsman: The Secret Service 2015 	07:16.7 	Scott Pilgrim vs the World 2010The Dark Knight Rises 2012Sin City 2 2013Sin City 2005Fantastic Four 2005 	01:07.8 	5 	2 	4 	3 	1 	5 	4 	3 	3 	4 	
18 	Sphere 	NoLinks 	Marvel 	01:50.8 	X-Men: First Class (2011) 	04:47.2 	Watchmen (2009), League of Extraordinary Gentlemen (2003), Howard the Duck (1986), Punisher (1989), Mystery Men (1999), From Hell (2001) 	10:40.6 	Captain America: the First Avenger (2011) 	13:37.9 	The Dark Knight (2008), Scott Pilgrim vs the World (2010) 	01:31.2 	2 	1 	2 	3 	4 	3 	1 	2 	4 	4 	
18 	Node 	NoLinks 	Mirage 	05:58.6 	Fantastic Four: Rise of the Silver Surfer 2007 	08:53.2 	Punisher 1989Fantastic Four 2015From Hell 2001League of Extraordinary Gentlemen 2003 	11:32.7 	X-Men: First Class 2011 	16:11.8 	Scott Pilgrim vs the World 2010The Dark Knight 2008Kingsman: The Secret Service 2015Batman Begins 2005The Dark Knight Rises 2012Avengers: Age of Ultron 2015Captain America: the Winter Soldier 2014Fantastic Four: Rise of the Silver Surfer 2007Captain America: Civil War 2016 	01:02.4 	2 	2 	3 	3 	4 	5 	4 	3 	4 	4 	
19 	Node 	Links 	Marvel 	00:59.1 	Iron Man 2008 	02:22.6 	From Hell 2001 	02:47.1 	Men In Black 3 2012 	04:32.7 	Wanted 2008X-Men: Days of Future Past 2014Superman Returns 2006Kingsman: The Secret Service 2015Scott Pilgrim vs the World 2010 	01:12.4 	1 	3 	4 	6 	2 	4 	5 	5 	3 	4 	
19 	Sphere 	Links 	Marvel 	00:47.7 	Iron Man (2008) 	02:10.2 	From Hell (2001) 	02:24.7 	Jonah Hex (2010) 	05:10.6 	Superman Returns (2006) 	00:51.9 	2 	4 	1 	2 	4 	4 	5 	3 	2 	3 	
