PARTICIPANT1,
SphereScenetrue,
QNumT:0 Input Value:Marvel,
Time Elapsed,01:39.4
QNumT:1 Input Value:Movie: X-Men: Days of Future Past (2014),
Time Elapsed,07:27.2
QNumT:2 Input Value:Movie: From Hell (2001)Movie: Mystery Men (1999)Movie: Fantastic Four (2015)Movie: Punisher (1989)Movie: Watchmen (2009)Movie: Howard the Duck (1986)Movie: League of Extraordinary Gentlemen (2003),
Time Elapsed,11:47.6
QNumT:3 Input Value:Movie: Fantastic Four: Rise of the Silver Surfer (2007),
Time Elapsed,21:27.3
QNumT:4 Input Value:Movie: Kingsman: The Secret Service (2015),
Time Elapsed,33:46.8
QNumS:0 Input Value:6,
Time Elapsed,00:22.1
QNumS:1 Input Value:3,
Time Elapsed,01:00.6
QNumS:2 Input Value:6,
Time Elapsed,01:10.7
QNumS:3 Input Value:6,
Time Elapsed,01:29.6
QNumS:4 Input Value:3,
Time Elapsed,02:05.5
QNumS:5 Input Value:6,
Time Elapsed,02:14.9
QNumS:6 Input Value:5,
Time Elapsed,02:29.2
QNumS:7 Input Value:6,
Time Elapsed,02:42.2
QNumS:8 Input Value:6,
Time Elapsed,03:10.3
QNumS:9 Input Value:6,
Time Elapsed,03:30.1
QNumS:9 Input Value:6,
Time Elapsed,03:30.1
7/21/2017 13:09,7/21/2017 13:13
NodeGraphtrue,
QNumT:0 Input Value:Marvel,
Time Elapsed,00:12.7
PARTICIPANT2,
SphereScenefalse,
QNumT:0 Input Value:Marvel,
Time Elapsed,04:56.1
QNumT:1 Input Value:Movie: Avengers (2012),
Time Elapsed,08:21.3
QNumT:2 Input Value:Movie: Punisher (1989)Movie: Howard the Duck (1986)Movie: From Hell (2001)Movie: Mystery Men (1999)Movie: Watchmen (2009)Movie: League of Extraordinary Gentlemen (2003),
Time Elapsed,12:19.8
QNumT:3 Input Value:Movie: Captain America: the First Avenger (2011),
Time Elapsed,16:34.0
QNumT:4 Input Value:Movie: Avengers (2012)Movie: Kingsman: The Secret Service (2015),
Time Elapsed,17:43.6
QNumS:0 Input Value:5,
Time Elapsed,00:19.8
QNumS:1 Input Value:2,
Time Elapsed,00:28.6
QNumS:2 Input Value:6,
Time Elapsed,00:35.0
QNumS:3 Input Value:4,
Time Elapsed,00:39.9
QNumS:4 Input Value:1,
Time Elapsed,00:45.3
QNumS:5 Input Value:6,
Time Elapsed,00:50.5
QNumS:6 Input Value:5,
Time Elapsed,00:55.3
QNumS:7 Input Value:5,
Time Elapsed,01:00.5
QNumS:8 Input Value:6,
Time Elapsed,01:05.8
QNumS:9 Input Value:6,
Time Elapsed,01:13.5
QNumS:9 Input Value:6,
Time Elapsed,01:13.5
7/21/2017 14:29,7/21/2017 14:30
NodeGraphfalse,
QNumT:0 Input Value:Marvel,
Time Elapsed,00:37.7
QNumT:1 Input Value:Captain America: the First Avenger 2011,
Time Elapsed,02:28.2
QNumT:2 Input Value:Punisher 1989Howard the Duck 1986Fantastic Four 2015,
Time Elapsed,02:54.7
QNumT:3 Input Value:Guardians of the Galaxy 2014,
Time Elapsed,05:40.1
QNumT:4 Input Value:Kingsman: The Secret Service 2015,
Time Elapsed,06:59.6
QNumS:0 Input Value:4,
Time Elapsed,00:07.2
QNumS:1 Input Value:4,
Time Elapsed,00:11.6
QNumS:2 Input Value:3,
Time Elapsed,00:15.3
QNumS:3 Input Value:6,
Time Elapsed,00:19.2
QNumS:4 Input Value:4,
Time Elapsed,00:24.0
QNumS:5 Input Value:4,
Time Elapsed,00:30.7
QNumS:6 Input Value:3,
Time Elapsed,00:33.8
QNumS:7 Input Value:4,
Time Elapsed,00:39.4
QNumS:8 Input Value:4,
Time Elapsed,00:45.3
QNumS:9 Input Value:5,
Time Elapsed,00:49.9
QNumS:9 Input Value:5,
Time Elapsed,00:49.9
7/21/2017 14:48,7/21/2017 14:49
PARTICIPANT3,
NodeGraphtrue,
QNumT:0 Input Value:Marvel,
Time Elapsed,03:59.3
QNumT:1 Input Value:Avengers: Age of Ultron 2015,
Time Elapsed,05:08.1
QNumT:2 Input Value:Avengers: Age of Ultron 2015Batman Forever 1995,
Time Elapsed,05:40.7
QNumT:3 Input Value:The Dark Knight Rises 2012,
Time Elapsed,08:36.7
QNumT:4 Input Value:Batman 1989The Dark Knight Rises 2012Scott Pilgrim vs the World 2010,
Time Elapsed,13:50.7
QNumS:0 Input Value:4,
Time Elapsed,00:19.9
QNumS:1 Input Value:1,
Time Elapsed,00:29.8
QNumS:2 Input Value:5,
Time Elapsed,00:39.4
QNumS:3 Input Value:5,
Time Elapsed,00:46.4
QNumS:4 Input Value:1,
Time Elapsed,00:53.1
QNumS:5 Input Value:6,
Time Elapsed,00:59.0
QNumS:6 Input Value:5,
Time Elapsed,01:02.6
QNumS:7 Input Value:5,
Time Elapsed,01:11.7
QNumS:8 Input Value:1,
Time Elapsed,01:17.8
QNumS:9 Input Value:5,
Time Elapsed,01:25.9
QNumS:9 Input Value:5,
Time Elapsed,01:25.9
7/24/2017 11:14,7/24/2017 11:15
SphereScenetrue,
QNumT:0 Input Value:Marvel,
Time Elapsed,01:20.4
QNumT:1 Input Value:Movie: Captain America: Civil War (2016),
Time Elapsed,02:05.4
QNumT:2 Input Value:Movie: From Hell (2001),
Time Elapsed,02:22.7
QNumT:3 Input Value:Movie: Scott Pilgrim vs the World (2010),
Time Elapsed,03:54.3
QNumT:4 Input Value:Movie: The Dark Knight (2008)Movie: Scott Pilgrim vs the World (2010)Movie: Wanted (2008),
Time Elapsed,05:44.6
QNumS:0 Input Value:5,
Time Elapsed,00:03.9
QNumS:1 Input Value:4,
Time Elapsed,00:09.8
QNumS:2 Input Value:6,
Time Elapsed,00:13.7
QNumS:3 Input Value:5,
Time Elapsed,00:19.1
QNumS:4 Input Value:2,
Time Elapsed,00:24.9
QNumS:5 Input Value:6,
Time Elapsed,00:28.6
QNumS:6 Input Value:6,
Time Elapsed,00:32.3
QNumS:7 Input Value:5,
Time Elapsed,00:35.8
QNumS:8 Input Value:5,
Time Elapsed,00:39.6
QNumS:9 Input Value:4,
Time Elapsed,00:44.8
QNumS:9 Input Value:4,
Time Elapsed,00:44.8
7/24/2017 11:26,7/24/2017 11:27
PARTICIPANT4,
NodeGraphfalse,
QNumT:0 Input Value:DC,
Time Elapsed,12:04.3
QNumT:1 Input Value:X-Men: Age of Apocalypse 2016,
Time Elapsed,20:18.9
QNumT:2 Input Value:Batman Forever 1995,
Time Elapsed,20:30.5
QNumT:3 Input Value:Sin City 2005,
Time Elapsed,22:14.8
QNumT:4 Input Value:Scott Pilgrim vs the World 2010,
Time Elapsed,36:36.2
QNumS:0 Input Value:5,
Time Elapsed,00:24.2
QNumS:1 Input Value:4,
Time Elapsed,00:35.3
QNumS:2 Input Value:4,
Time Elapsed,00:44.6
QNumS:3 Input Value:4,
Time Elapsed,00:53.9
QNumS:4 Input Value:3,
Time Elapsed,01:00.6
QNumS:5 Input Value:5,
Time Elapsed,01:07.1
QNumS:6 Input Value:4,
Time Elapsed,01:13.2
QNumS:7 Input Value:4,
Time Elapsed,01:21.5
QNumS:8 Input Value:5,
Time Elapsed,01:29.3
QNumS:9 Input Value:5,
Time Elapsed,01:36.0
QNumS:9 Input Value:5,
Time Elapsed,01:36.0
7/24/2017 12:54,7/24/2017 12:56
SphereScenefalse,
QNumT:0 Input Value:Marvel,
Time Elapsed,01:45.3
QNumT:1 Input Value:Movie: Avengers: Age of Ultron (2015),
Time Elapsed,05:48.6
QNumT:2 Input Value:Movie: League of Extraordinary Gentlemen (2003),
Time Elapsed,06:34.1
